Strain,Media,Elaiophylin_Area,Caption,Day
J1074,mnl,0,J1074 Mannitol,1
J1074,mnl,3.77,J1074 Mannitol,1
NBC1270,mnl,2.67,NBC1270 Mannitol,1
NBC1270,mnl,6.51,NBC1270 Mannitol,1
J1074,mnl_gly,6.74,J1074 Mannitol + 0.1 Glycerol,1
J1074,mnl_gly,4.57,J1074 Mannitol + 0.1 Glycerol,1
NBC1270,mnl_gly,5.98,NBC1270 Mannitol + 0.1 Glycerol,1
NBC1270,mnl_gly,4.86,NBC1270 Mannitol + 0.1 Glycerol,1
J1074,mnl,7.04,J1074 Mannitol,2
J1074,mnl,9.47,J1074 Mannitol,2
NBC1270,mnl,8.46,NBC1270 Mannitol,2
NBC1270,mnl,6.42,NBC1270 Mannitol,2
J1074,mnl_gly,10.42,J1074 Mannitol + 0.1 Glycerol,2
J1074,mnl_gly,6.93,J1074 Mannitol + 0.1 Glycerol,2
NBC1270,mnl_gly,4.17,NBC1270 Mannitol + 0.1 Glycerol,2
NBC1270,mnl_gly,9.67,NBC1270 Mannitol + 0.1 Glycerol,2
J1074,mnl,4.86,J1074 Mannitol,3
J1074,mnl,22.84,J1074 Mannitol,3
NBC1270,mnl,13.37,NBC1270 Mannitol,3
NBC1270,mnl,7.68,NBC1270 Mannitol,3
J1074,mnl_gly,14.33,J1074 Mannitol + 0.1 Glycerol,3
J1074,mnl_gly,16.37,J1074 Mannitol + 0.1 Glycerol,3
NBC1270,mnl_gly,5.4,NBC1270 Mannitol + 0.1 Glycerol,3
NBC1270,mnl_gly,12.19,NBC1270 Mannitol + 0.1 Glycerol,3
J1074,mnl,0,J1074 Mannitol,4
J1074,mnl,37.4,J1074 Mannitol,4
NBC1270,mnl,0,NBC1270 Mannitol,4
NBC1270,mnl,0,NBC1270 Mannitol,4
J1074,mnl_gly,42.83,J1074 Mannitol + 0.1 Glycerol,4
J1074,mnl_gly,37.71,J1074 Mannitol + 0.1 Glycerol,4
NBC1270,mnl_gly,0,NBC1270 Mannitol + 0.1 Glycerol,4
NBC1270,mnl_gly,0,NBC1270 Mannitol + 0.1 Glycerol,4