index,activity,chemical,category,moa,bigg,exchange,model_simulation_0.05,model_simulation_0.1,model_simulation_0.2
PM01_A01,False,Negative Control,carbon,"C-Source, negative control",#,#,,,
PM01_A02,True,L-Arabinose,carbon,"C-Source, carbohydrate",arab__L,EX_arab__L_e,True,True,True
PM01_A03,True,N-Acetyl-D-Glucosamine,carbon,"C-Source, carbohydrate",acgam,EX_acgam_e,,,
PM01_A04,False,D-Saccharic acid,carbon,"C-Source, carboxylic acid",glcr,EX_glcr_e,,,
PM01_A05,True,Succinic acid,carbon,"C-Source, carboxylic acid",succ,EX_succ_e,True,True,True
PM01_A06,True,D-Galactose,carbon,"C-Source, carbohydrate",gal,EX_gal_e,True,True,True
PM01_A07,True,L-Aspartic acid,carbon,"C-Source, amino acid",asp__L,EX_asp__L_e,True,True,True
PM01_A08,True,L-Proline,carbon,"C-Source, amino acid",pro__L,EX_pro__L_e,True,True,True
PM01_A09,False,D-Alanine,carbon,"C-Source, amino acid",ala__D,EX_ala__D_e,True,True,True
PM01_A10,False,D-Trehalose,carbon,"C-Source, carbohydrate",tre,EX_tre_e,True,True,True
PM01_A11,True,D-Mannose,carbon,"C-Source, carbohydrate",man,EX_man_e,True,True,True
PM01_A12,False,Dulcitol,carbon,"C-Source, carbohydrate",galt,EX_galt_e,,,
PM01_B01,False,D-Serine,carbon,"C-Source, amino acid",ser__D,EX_ser__D_e,True,True,True
PM01_B02,False,D-Sorbitol,carbon,"C-Source, carbohydrate",sbt__D,EX_sbt__D_e,True,True,True
PM01_B03,True,Glycerol,carbon,"C-Source, carbohydrate",glyc,EX_glyc_e,True,True,True
PM01_B04,False,L-Fucose,carbon,"C-Source, carbohydrate",fuc__L_e,EX_fuc__L_e,,,
PM01_B05,False,D-Glucuronic acid,carbon,"C-Source, carboxylic acid",glcur,EX_glcur_e,,,
PM01_B06,True,D-Gluconic acid,carbon,"C-Source, carboxylic acid",glcn,EX_glcn_e,True,True,True
PM01_B07,False,DL-a-Glycerol Phosphate,carbon,"C-Source, carbohydrate",glyc3p,EX_glyc3p_e,True,True,True
PM01_B08,True,D-Xylose,carbon,"C-Source, carbohydrate",xyl__D,EX_xyl__D_e,True,True,True
PM01_B09,True,L-Lactic acid,carbon,"C-Source, carboxylic acid",lac__L,EX_lac__L_e,True,True,True
PM01_B10,False,Formic acid,carbon,"C-Source, carboxylic acid",for,EX_for_e,True,True,True
PM01_B11,True,D-Mannitol,carbon,"C-Source, carbohydrate",mnl,EX_mnl_e,True,True,True
PM01_B12,True,L-Glutamic acid,carbon,"C-Source, amino acid",glu__L,EX_glu__L_e,True,True,True
PM01_C01,False,D-Glucose-6-Phosphate,carbon,"C-Source, carbohydrate",g6p,EX_g6p_e,,,
PM01_C02,False,D-Galactonic acid-g-Lactone,carbon,"C-Source, carboxylic acid",#,#,,,
PM01_C03,True,DL-Malic acid,carbon,"C-Source, carboxylic acid",mal__D,EX_mal__D_e,,,
PM01_C04,True,D-Ribose,carbon,"C-Source, carbohydrate",rib__D,EX_rib__D_e,True,True,True
PM01_C05,True,Tween 20,carbon,"C-Source, fatty acid",MNXM88333,EX_MNXM88333_e,,,
PM01_C06,False,L-Rhamnose,carbon,"C-Source, carbohydrate",rmn,EX_rmn_e,True,True,True
PM01_C07,True,D-Fructose,carbon,"C-Source, carbohydrate",fru,EX_fru_e,True,True,True
PM01_C08,True,Acetic acid,carbon,"C-Source, carboxylic acid",ac,EX_ac_e,True,True,True
PM01_C09,True,a-D-Glucose,carbon,"C-Source, carbohydrate",glc__D,EX_glc__D_e,True,True,True
PM01_C10,True,Maltose,carbon,"C-Source, carbohydrate",malt,EX_malt_e,True,True,True
PM01_C11,False,D-Melibiose,carbon,"C-Source, carbohydrate",melib,EX_melib_e,True,True,True
PM01_C12,True,Thymidine,carbon,"C-Source, carbohydrate",thymd,EX_thymd_e,True,True,True
PM01_D01,True,L-Asparagine,carbon,"C-Source, amino acid",asn__L,EX_asn__L_e,True,True,True
PM01_D02,False,D-Aspartic acid,carbon,"C-Source, amino acid",asp__D,EX_asp__D_e,,,
PM01_D03,True,D-Glucosaminic acid,carbon,"C-Source, carboxylic acid",#,EX_MNXM2469_e,,,
PM01_D04,False,"1,2-Propanediol",carbon,"C-Source, alcohol",EX_12ppd__S_e,,,,
PM01_D05,True,Tween 40,carbon,"C-Source, fatty acid",MNXM88334,EX_MNXM88334_e,,,
PM01_D06,False,a-Ketoglutaric acid,carbon,"C-Source, carboxylic acid",akg,EX_akg_e,True,True,True
PM01_D07,True,a-Ketobutyric acid,carbon,"C-Source, carboxylic acid",2obut,EX_2obut_e,,,
PM01_D08,False,a-Methyl-D-Galactoside,carbon,"C-Source, carbohydrate",#,EX_MNXM3304_e,,,
PM01_D09,False,a-D-Lactose,carbon,"C-Source, carbohydrate",lcts,EX_lcts_e,,,
PM01_D10,False,Lactulose,carbon,"C-Source, carbohydrate",#,EX_MNXM12073_e,,,
PM01_D11,False,Sucrose,carbon,"C-Source, carbohydrate",sucr,EX_sucr_e,,,
PM01_D12,False,Uridine,carbon,"C-Source, carbohydrate",uri,EX_uri_e,True,True,True
PM01_E01,False,L-Glutamine,carbon,"C-Source, amino acid",gln__L,EX_gln__L_e,True,True,True
PM01_E02,False,m-Tartaric acid,carbon,"C-Source, carboxylic acid",tartr__M,EX_tartr__M_e,,,
PM01_E03,False,D-Glucose-1-Phosphate,carbon,"C-Source, carbohydrate",g1p,EX_g1p_e,,,
PM01_E04,False,D-Fructose-6-Phosphate,carbon,"C-Source, carbohydrate",f6p,EX_f6p_e,,,
PM01_E05,True,Tween 80,carbon,"C-Source, fatty acid",MNXM88336,EX_MNXM88336_e,,,
PM01_E06,False,a-Hydroxyglutaric acid-g-Lactone,carbon,"C-Source, carboxylic acid",#,#,,,
PM01_E07,True,a-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",2hbut,EX_2hbut_e,,,
PM01_E08,True,b-Methyl-D-Glucoside,carbon,"C-Source, carbohydrate",mbdg,EX_mbdg_e,,,
PM01_E09,False,Adonitol,carbon,"C-Source, carbohydrate",rbt,EX_rbt_e,,,
PM01_E10,True,Maltotriose,carbon,"C-Source, carbohydrate",malttr,EX_malttr_e,True,True,True
PM01_E11,True,2`-Deoxyadenosine,carbon,"C-Source, carbohydrate",dad_2,EX_dad_2_e,True,True,True
PM01_E12,True,Adenosine,carbon,"C-Source, carbohydrate",adn,EX_adn_e,True,True,True
PM01_F01,True,Gly-Asp,carbon,"C-Source, amino acid",glu_asp__L,EX_gly_asp__L_e,,,
PM01_F02,True,Citric acid,carbon,"C-Source, carboxylic acid",cit,EX_cit_e,True,True,True
PM01_F03,False,m-Inositol,carbon,"C-Source, carbohydrate",inost,EX_inost_e,True,True,True
PM01_F04,False,D-Threonine,carbon,"C-Source, amino acid",#,EX_MNXM2514_e,,,
PM01_F05,True,Fumaric acid,carbon,"C-Source, carboxylic acid",fum,EX_fum_e,True,True,True
PM01_F06,True,Bromosuccinic acid,carbon,"C-Source, carboxylic acid",#,#,,,
PM01_F07,True,Propionic acid,carbon,"C-Source, carboxylic acid",ppa,EX_ppa_e,True,True,True
PM01_F08,False,Mucic acid,carbon,"C-Source, carboxylic acid",galct__D,EX_galct__D_e,,,
PM01_F09,False,Glycolic acid,carbon,"C-Source, carboxylic acid",glyclt,EX_glyclt_e,True,True,True
PM01_F10,True,Glyoxylic acid,carbon,"C-Source, carboxylic acid",glx,EX_glx_e,,,
PM01_F11,True,D-Cellobiose,carbon,"C-Source, carbohydrate",cellb,EX_cellb_e,True,True,True
PM01_F12,True,Inosine,carbon,"C-Source, carbohydrate",ins,EX_ins_e,True,True,True
PM01_G01,True,Gly-Glu,carbon,"C-Source, amino acid",gly_L_glu__L,EX_gly_L_glu__L_e,,,
PM01_G02,False,Tricarballylic acid,carbon,"C-Source, carboxylic acid",tcb,EX_tcb_e,,,
PM01_G03,True,L-Serine,carbon,"C-Source, amino acid",ser__L,EX_ser__L_e,True,True,True
PM01_G04,True,L-Threonine,carbon,"C-Source, amino acid",thr__L,EX_thr__L_e,True,True,True
PM01_G05,True,L-Alanine,carbon,"C-Source, amino acid",ala__L,EX_ala__L_e,True,True,True
PM01_G06,True,Ala-Gly,carbon,"C-Source, amino acid",ala_L_gly__L,EX_ala_L_gly__L_e,,,
PM01_G07,False,Acetoacetic acid,carbon,"C-Source, carboxylic acid",acac,EX_acac_e,,,
PM01_G08,False,N-Acetyl-D-Mannosamine,carbon,"C-Source, carbohydrate",acmana,EX_acmana_e,,,
PM01_G09,False,Mono-Methylsuccinate,carbon,"C-Source, carboxylic acid",methsucc,EX_methsucc_e,,,
PM01_G10,True,Methylpyruvate,carbon,"C-Source, ester",#,#,,,
PM01_G11,False,D-Malic acid,carbon,"C-Source, carboxylic acid",mal__D,EX_mal__D_e,,,
PM01_G12,True,L-Malic acid,carbon,"C-Source, carboxylic acid",mal__L,EX_mal__L_e,True,True,True
PM01_H01,True,Gly-Pro,carbon,"C-Source, amino acid",gly_L_pro__L,EX_gly_L_pro__L_e,,,
PM01_H02,False,p-Hydroxyphenyl Acetic acid,carbon,"C-Source, carboxylic acid",4hphac,EX_4hphac_e,,,
PM01_H03,True,m-Hydroxyphenyl Acetic acid,carbon,"C-Source, carboxylic acid",3hoxpac,EX_3hoxpac_e,,,
PM01_H04,False,Tyramine,carbon,"C-Source, amine",tym,EX_tym_e,,,
PM01_H05,False,D-Psicose,carbon,"C-Source, carbohydrate",#,EX_MNXM8509_e,,,
PM01_H06,True,L-Lyxose,carbon,"C-Source, carbohydrate",lyx__L,EX_lyx__L_e,True,True,True
PM01_H07,False,Glucuronamide,carbon,"C-Source, amide",#,#,,,
PM01_H08,True,Pyruvic acid,carbon,"C-Source, carboxylic acid",pyr,EX_pyr_e,True,True,True
PM01_H09,False,L-Galactonic acid-g-Lactone,carbon,"C-Source, carboxylic acid",#,#,,,
PM01_H10,False,D-Galacturonic acid,carbon,"C-Source, carboxylic acid",galur,EX_galur_e,,,
PM01_H11,False,Phenylethylamine,carbon,"C-Source, amine",peamn,EX_peamn_e,,,
PM01_H12,False,2-Aminoethanol,carbon,"C-Source, alcohol",etha,EX_etha_e,True,True,True
PM02_A01,False,Negative Control,carbon,"C-Source, negative control",#,#,,,
PM02_A02,False,Chondroitin Sulfate C,carbon,"C-Source, polymer",#,EX_MNXM8395_e,,,
PM02_A03,False,a-Cyclodextrin,carbon,"C-Source, polymer",#,#,,,
PM02_A04,False,b-Cyclodextrin,carbon,"C-Source, polymer",#,#,,,
PM02_A05,True,g-Cyclodextrin,carbon,"C-Source, polymer",#,#,,,
PM02_A06,True,Dextrin,carbon,"C-Source, polymer",dextrin,EX_dextrin_e,,,
PM02_A07,True,Gelatin,carbon,"C-Source, polymer",#,#,,,
PM02_A08,True,Glycogen,carbon,"C-Source, polymer",glycogen,EX_glycogen_e,,,
PM02_A09,False,Inulin,carbon,"C-Source, polymer",#,#,,,
PM02_A10,True,Laminarin,carbon,"C-Source, polymer",#,EX_MNXM59700_e,,,
PM02_A11,False,Mannan,carbon,"C-Source, polymer",mannan,EX_mannan_e,,,
PM02_A12,False,Pectin,carbon,"C-Source, polymer",pectin,EX_pectin_e,,,
PM02_B01,False,N-Acetyl-D-Galactosamine,carbon,"C-Source, carbohydrate",acgal,EX_acgal_e,,,
PM02_B02,False,N-Acetyl-Neuraminic acid,carbon,"C-Source, carboxylic acid",acnam,EX_acnam_e,,,
PM02_B03,False,b-D-Allose,carbon,"C-Source, carbohydrate",all__D,EX_all__D_e,,,
PM02_B04,True,Amygdalin,carbon,"C-Source, carbohydrate",#,EX_MNXM4201_e,,,
PM02_B05,True,D-Arabinose,carbon,"C-Source, carbohydrate",arab__D,EX_arab__D_e,,,
PM02_B06,True,D-Arabitol,carbon,"C-Source, carbohydrate",abt__D,EX_abt__D_e,True,True,True
PM02_B07,False,L-Arabitol,carbon,"C-Source, carbohydrate",abt__L,EX_abt__L_e,,,
PM02_B08,True,Arbutin,carbon,"C-Source, carbohydrate",arbt,EX_arbt_e,,,
PM02_B09,True,2-Deoxy-D-Ribose,carbon,"C-Source, carbohydrate",drib,EX_drib_e,True,True,True
PM02_B10,False,i-Erythritol,carbon,"C-Source, carbohydrate",#,EX_MNXM3592_e,,,
PM02_B11,False,D-Fucose,carbon,"C-Source, carbohydrate",#,EX_MNXM8489_e,,,
PM02_B12,False,3-O-b-D-Galactopyranosyl-D-Arabinose,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C01,True,Gentiobiose,carbon,"C-Source, carbohydrate",#,EX_MNXM18038_e,,,
PM02_C02,False,L-Glucose,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C03,False,D-Lactitol,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C04,False,D-Melezitose,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C05,False,Maltitol,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C06,False,a-Methyl-D-Glucoside,carbon,"C-Source, carbohydrate",amdglc,EX_amdglc_e,,,
PM02_C07,False,b-Methyl-D-Galactoside,carbon,"C-Source, carbohydrate",#,EX_MNXM3304_e,,,
PM02_C08,False,3-Methylglucose,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C09,False,b-Methyl-D-Glucuronic acid,carbon,"C-Source, carboxylic acid",#,EX_MNXM146121_e,,,
PM02_C10,False,a-Methyl-D-Mannoside,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C11,False,b-Methyl-D-Xyloside,carbon,"C-Source, carbohydrate",#,#,,,
PM02_C12,False,Palatinose,carbon,"C-Source, carbohydrate",pala,EX_pala_e,,,
PM02_D01,False,D-Raffinose,carbon,"C-Source, carbohydrate",raffin,EX_raffin_e,True,True,True
PM02_D02,True,Salicin,carbon,"C-Source, carbohydrate",salcn,EX_salcn_e,,,
PM02_D03,False,Sedoheptulosan,carbon,"C-Source, carbohydrate",#,#,,,
PM02_D04,False,L-Sorbose,carbon,"C-Source, carbohydrate",srb__L,EX_srb__L_e,,,
PM02_D05,False,Stachyose,carbon,"C-Source, carbohydrate",stys,EX_stys_e,,,
PM02_D06,False,D-Tagatose,carbon,"C-Source, carbohydrate",tag__D,EX_tag__D_e,,,
PM02_D07,False,Turanose,carbon,"C-Source, carbohydrate",#,#,,,
PM02_D08,False,Xylitol,carbon,"C-Source, carbohydrate",xylt,EX_xylt_e,True,True,True
PM02_D09,False,N-Acetyl-D-Glucosaminitol,carbon,"C-Source, carbohydrate",#,#,,,
PM02_D10,False,g-Amino-N-Butyric acid,carbon,"C-Source, carboxylic acid",4abut,EX_4abut_e,True,True,True
PM02_D11,False,d-Amino Valeric acid,carbon,"C-Source, carboxylic acid",5aptn,EX_5aptn_e,,,
PM02_D12,True,Butyric acid,carbon,"C-Source, carboxylic acid",but,EX_but_e,,,
PM02_E01,False,Capric acid,carbon,"C-Source, carboxylic acid",dca,EX_dca_e,,,
PM02_E02,True,Caproic acid,carbon,"C-Source, carboxylic acid",hxa,EX_hxa_e,,,
PM02_E03,False,Citraconic acid,carbon,"C-Source, carboxylic acid",citac,EX_citac_e,,,
PM02_E04,False,Citramalic acid,carbon,"C-Source, carboxylic acid",citm,EX_citm_e,,,
PM02_E05,True,D-Glucosamine,carbon,"C-Source, carbohydrate",gam,EX_gam_e,,,
PM02_E06,False,2-Hydroxybenzoic acid,carbon,"C-Source, carboxylic acid",salc,EX_salc_e,,,
PM02_E07,False,4-Hydroxybenzoic acid,carbon,"C-Source, carboxylic acid",4hbz,EX_4hbz_e,,,
PM02_E08,True,b-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",bhb,EX_bhb_e,True,True,True
PM02_E09,False,g-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",ghb,EX_ghb_e,,,
PM02_E10,False,a-Keto-Valeric acid,carbon,"C-Source, carboxylic acid",#,#,,,
PM02_E11,False,Itaconic acid,carbon,"C-Source, carboxylic acid",itacon,EX_itacon_e,,,
PM02_E12,True,5-Keto-D-Gluconic acid,carbon,"C-Source, carboxylic acid",5dglcn,EX_5dglcn_e,True,True,True
PM02_F01,False,D-Lactic acid Methyl Ester,carbon,"C-Source, ester",#,#,,,
PM02_F02,True,Malonic acid,carbon,"C-Source, carboxylic acid",malon,EX_malon_e,,,
PM02_F03,False,Melibionic acid,carbon,"C-Source, carbohydrate",#,#,,,
PM02_F04,False,Oxalic acid,carbon,"C-Source, carboxylic acid",oxa,EX_oxa_e,,,
PM02_F05,False,Oxalomalic acid,carbon,"C-Source, carboxylic acid",#,EX_MNXM3850_e,,,
PM02_F06,False,Quinic acid,carbon,"C-Source, carboxylic acid",quin,EX_quin_e,,,
PM02_F07,False,"D-Ribono-1,4-Lactone",carbon,"C-Source, carboxylic acid",#,#,,,
PM02_F08,False,Sebacic acid,carbon,"C-Source, carboxylic acid",sebacid,EX_sebacid_e,,,
PM02_F09,False,Sorbic acid,carbon,"C-Source, carboxylic acid",#,#,,,
PM02_F10,False,Succinamic acid,carbon,"C-Source, carboxylic acid",#,#,,,
PM02_F11,False,D-Tartaric acid,carbon,"C-Source, carboxylic acid",tartr__D,EX_tartr__D_e,True,True,True
PM02_F12,False,L-Tartaric acid,carbon,"C-Source, carboxylic acid",tartr__L,EX_tartr__L_e,,,
PM02_G01,False,Acetamide,carbon,"C-Source, amide",ad,EX_ad_e,,,
PM02_G02,True,L-Alaninamide,carbon,"C-Source, amide",#,#,,,
PM02_G03,False,N-Acetyl-L-Glutamic acid,carbon,"C-Source, amino acid",acglu,EX_acglu_e,,,
PM02_G04,False,L-Arginine,carbon,"C-Source, amino acid",arg__L,EX_arg__L_e,True,True,True
PM02_G05,True,Glycine,carbon,"C-Source, amino acid",gly,EX_gly_e,True,True,True
PM02_G06,True,L-Histidine,carbon,"C-Source, amino acid",his__L,EX_his__L_e,True,True,True
PM02_G07,False,L-Homoserine,carbon,"C-Source, amino acid",hom__L,EX_hom__L_e,True,True,True
PM02_G08,False,Hydroxy-L-Proline,carbon,"C-Source, amino acid",#,EX_MNXM90406_e,,,
PM02_G09,True,L-Isoleucine,carbon,"C-Source, amino acid",ile__L,EX_ile__L_e,True,True,True
PM02_G10,False,L-Leucine,carbon,"C-Source, amino acid",leu__L,EX_leu__L_e,True,True,True
PM02_G11,False,L-Lysine,carbon,"C-Source, amino acid",lys__L,EX_lys__L_e,True,True,True
PM02_G12,True,L-Methionine,carbon,"C-Source, amino acid",met__L,EX_met__L_e,True,True,True
PM02_H01,False,L-Ornithine,carbon,"C-Source, amino acid",orn,EX_orn_e,True,True,True
PM02_H02,True,L-Phenylalanine,carbon,"C-Source, amino acid",phe__L,EX_phe__L_e,True,True,True
PM02_H03,False,L-Pyroglutamic acid,carbon,"C-Source, amino acid",#,#,,,
PM02_H04,True,L-Valine,carbon,"C-Source, amino acid",val__L,EX_val__L_e,True,True,True
PM02_H05,False,"D,L-Carnitine",carbon,"C-Source, carboxylic acid",crn,EX_crn_e,,,
PM02_H06,False,sec-Butylamine,carbon,"C-Source, amine",#,#,,,
PM02_H07,False,"D,L-Octopamine",carbon,"C-Source, amine",#,EX_MNXM3679_e,,,
PM02_H08,True,Putrescine,carbon,"C-Source, amine",ptrc,EX_ptrc_e,True,True,True
PM02_H09,True,Dihydroxyacetone,carbon,"C-Source, alcohol",dha,EX_dha_e,True,True,True
PM02_H10,False,"2,3-Butanediol",carbon,"C-Source, alcohol",23btdl,EX_23btdl_e,,,
PM02_H11,False,"2,3-Butanedione",carbon,"C-Source, alcohol",diact,EX_diact_e,,,
PM02_H12,False,3-Hydroxy-2-buta,carbon,"C-Source, alcohol",#,EX_MNXM1268_e,,,
PM03_A01,False,Negative Control,nitrogen,"N-Source, Negative control",#,#,,,
PM03_A02,True,Ammonia,nitrogen,"N-Source, inorganic",nh4,EX_nh4_e,True,True,True
PM03_A03,True,Nitrite,nitrogen,"N-Source, inorganic",no2,EX_no2_e,True,True,True
PM03_A04,True,Nitrate,nitrogen,"N-Source, inorganic",no3,EX_no3_e,True,True,True
PM03_A05,True,Urea,nitrogen,"N-Source, other",urea,EX_urea_e,True,True,True
