,bigg,chemical,moa,exchange,model_simulation_0.05,carbon_number,media,PTA_Production_EX_glu__L_e,PTA_Production_EX_mnl_e,PTA_Production_EX_glyc_e
0,arab__L,L-Arabinose,"C-Source, carbohydrate",EX_arab__L_e,True,5,0.9600000000000002,0.06859664474863493,0.11007900026476444,0.13102553824863505
1,succ,Succinic acid,"C-Source, carboxylic acid",EX_succ_e,True,4,1.2000000000000002,0.05862372600676238,0.10046609703895727,0.12105261950676473
2,gal,D-Galactose,"C-Source, carbohydrate",EX_gal_e,True,6,0.8000000000000002,0.06866116087766731,0.1101435163937969,0.13109005437766652
3,asp__L,L-Aspartic acid,"C-Source, amino acid",EX_asp__L_e,True,4,1.2000000000000002,0.057172113103538064,0.09901448413573118,0.1196010066035382
4,pro__L,L-Proline,"C-Source, amino acid",EX_pro__L_e,True,5,0.9600000000000002,0.07004308084547355,0.11203867910347375,0.13262520157128133
5,man,D-Mannose,"C-Source, carbohydrate",EX_man_e,True,6,0.8000000000000002,0.06898374152282814,0.11046609703896021,0.13141263502282866
6,glyc,Glycerol,"C-Source, carbohydrate",EX_glyc_e,True,3,1.6000000000000003,0.07443165318418325,0.11627254865186315,0.0910526195067641
7,glcn,D-Gluconic acid,"C-Source, carboxylic acid",EX_glcn_e,True,6,0.8000000000000002,0.06522030066261358,0.10670265617874393,0.1276491941626142
8,xyl__D,D-Xylose,"C-Source, carbohydrate",EX_xyl__D_e,True,5,0.9600000000000002,0.06859664474863333,0.11007900026476368,0.1310255382486351
9,lac__L,L-Lactic acid,"C-Source, carboxylic acid",EX_lac__L_e,True,3,1.6000000000000003,0.06410759697450386,0.10594996800670088,0.12653649047450666
10,mnl,D-Mannitol,"C-Source, carbohydrate",EX_mnl_e,True,6,0.8000000000000002,0.07061932426476368,0.07046609703895836,0.1330467422002464
11,glu__L,L-Glutamic acid,"C-Source, amino acid",EX_glu__L_e,True,5,0.9600000000000002,0.028623726006763897,0.10390964684541198,0.12449616931321575
12,rib__D,D-Ribose,"C-Source, carbohydrate",EX_rib__D_e,True,5,0.9600000000000002,0.06743535442605421,0.10891770994218326,0.12986424792605444
13,fru,D-Fructose,"C-Source, carbohydrate",EX_fru_e,True,6,0.8000000000000002,0.06862520157128163,0.1104660970389569,0.1310526195067641
14,ac,Acetic acid,"C-Source, carboxylic acid",EX_ac_e,True,2,2.4000000000000004,0.06346243568418328,0.10530480671637703,0.12589132918418333
15,glc__D,a-D-Glucose,"C-Source, carbohydrate",EX_glc__D_e,True,6,0.8000000000000002,0.06868384039379596,0.11014351639379764,0.13111125832928022
16,malt,Maltose,"C-Source, carbohydrate",EX_malt_e,True,12,0.4000000000000001,0.06900642103895899,0.11046609703895705,0.1314338389744415
17,thymd,Thymidine,"C-Source, carbohydrate",EX_thymd_e,True,10,0.4800000000000001,0.06562273509913351,0.10746165451842538,0.12805162859913527
18,asn__L,L-Asparagine,"C-Source, amino acid",EX_asn__L_e,True,4,1.2000000000000002,0.057172113103536745,0.09901448413573327,0.11960100660353656
19,malttr,Maltotriose,"C-Source, carbohydrate",EX_malttr_e,True,18,0.2666666666666667,0.06900642103895627,0.1104660970389586,0.13143383897444147
20,dad_2,2`-Deoxyadenosine,"C-Source, carbohydrate",EX_dad_2_e,True,10,0.4800000000000001,0.05943202317151586,0.10127094259080467,0.12186091667151347
21,adn,Adenosine,"C-Source, carbohydrate",EX_adn_e,True,10,0.4800000000000001,0.058276900562948486,0.09975925607907729,0.12070579406294928
22,cit,Citric acid,"C-Source, carboxylic acid",EX_cit_e,True,6,0.8000000000000002,0.056688242135795985,0.09868384039379871,0.11927036286160192
23,fum,Fumaric acid,"C-Source, carboxylic acid",EX_fum_e,True,4,1.2000000000000002,0.0566882421357961,0.09853061316799017,0.11911713563579626
24,ppa,Propionic acid,"C-Source, carboxylic acid",EX_ppa_e,True,3,1.6000000000000003,0.06768087929619022,0.11046609703895761,0.13105261950676278
25,cellb,D-Cellobiose,"C-Source, carbohydrate",EX_cellb_e,True,12,0.4000000000000001,0.06836125974863484,0.1098209357486356,0.1307886776841189
26,ins,Inosine,"C-Source, carbohydrate",EX_ins_e,True,10,0.4800000000000001,0.05730915862746533,0.09879151414359572,0.11973805212746404
27,ser__L,L-Serine,"C-Source, amino acid",EX_ser__L_e,True,3,1.6000000000000003,0.06281727439385948,0.10465964542605502,0.12524616789386092
28,thr__L,L-Threonine,"C-Source, amino acid",EX_thr__L_e,True,4,1.2000000000000002,0.06591305767978026,0.10775197709907118,0.12834195117977903
29,ala__L,L-Alanine,"C-Source, amino acid",EX_ala__L_e,True,3,1.6000000000000003,0.06604308084547342,0.1078854518776659,0.128471974345473
30,mal__L,L-Malic acid,"C-Source, carboxylic acid",EX_mal__L_e,True,4,1.2000000000000002,0.0562043711680539,0.09804674220024767,0.11863326466805398
31,lyx__L,L-Lyxose,"C-Source, carbohydrate",EX_lyx__L_e,True,5,0.9600000000000002,0.06772050020031209,0.10956287123250721,0.13014939370031095
32,pyr,Pyruvic acid,"C-Source, carboxylic acid",EX_pyr_e,True,3,1.6000000000000003,0.060236629232570116,0.10207900026476277,0.12266552273256894
33,abt__D,D-Arabitol,"C-Source, carbohydrate",EX_abt__D_e,True,5,0.9600000000000002,0.07091922539379605,0.11240158090992607,0.13334811889379627
34,drib,2-Deoxy-D-Ribose,"C-Source, carbohydrate",EX_drib_e,True,5,0.9600000000000002,0.07162273509913417,0.1134616545184262,0.1340516285991344
35,bhb,b-Hydroxybutyric acid,"C-Source, carboxylic acid",EX_bhb_e,True,4,1.2000000000000002,0.06975275826482874,0.11159512929701898,0.1321816517648282
36,5dglcn,5-Keto-D-Gluconic acid,"C-Source, carboxylic acid",EX_5dglcn_e,True,6,0.8000000000000002,0.062317074856159234,0.10379943037228799,0.12474596835616254
37,gly,Glycine,"C-Source, amino acid",EX_gly_e,True,2,2.4000000000000004,0.05862372600676364,0.1004660970389573,0.12105261950676402
38,his__L,L-Histidine,"C-Source, amino acid",EX_his__L_e,True,6,0.8000000000000002,0.059679348587408323,0.10166843716798848,0.12226146931321602
39,ile__L,L-Isoleucine,"C-Source, amino acid",EX_ile__L_e,True,6,0.8000000000000002,0.07445964445434246,0.11630201548653706,0.13688853795434375
40,phe__L,L-Phenylalanine,"C-Source, amino acid",EX_phe__L_e,True,9,0.5333333333333334,0.031344667673429305,0.07318334677013999,0.09377356117342997
41,val__L,L-Valine,"C-Source, amino acid",EX_val__L_e,True,5,0.9600000000000002,0.07172275785585802,0.11356512888805098,0.1341516513558566
42,ptrc,Putrescine,"C-Source, amine",EX_ptrc_e,True,4,1.2000000000000002,0.07558830999869964,0.11744361441798892,0.13803013688579532
43,dha,Dihydroxyacetone,"C-Source, alcohol",EX_dha_e,True,3,1.6000000000000003,0.06862520157127876,0.11046609703895671,0.13105261950676328
44,nh4,Ammonia,"N-Source, inorganic",EX_nh4_e,True,0,0.0,0.02862372600676498,0.0704660970389575,0.09105261950676327
45,no2,Nitrite,"N-Source, inorganic",EX_no2_e,True,0,0.0,0.02862372600676498,0.0704660970389575,0.09105261950676327
46,no3,Nitrate,"N-Source, inorganic",EX_no3_e,True,0,0.0,0.02862372600676498,0.0704660970389575,0.09105261950676327
47,urea,Urea,"N-Source, other",EX_urea_e,True,1,4.800000000000001,0.03249469374869937,0.07433706478089322,0.0949235872487002
48,ala__L,L-Alanine,"N-Source, amino acid",EX_ala__L_e,True,3,1.6000000000000003,0.06604308084547354,0.10788545187766758,0.128471974345475
49,arg__L,L-Arginine,"N-Source, amino acid",EX_arg__L_e,True,6,0.8000000000000002,0.06049599467414182,0.10249159293214172,0.12307811539994917
50,asn__L,L-Asparagine,"N-Source, amino acid",EX_asn__L_e,True,4,1.2000000000000002,0.05717211310353472,0.0990144841357307,0.1196010066035378
51,asp__L,L-Aspartic acid,"N-Source, amino acid",EX_asp__L_e,True,4,1.2000000000000002,0.05717211310353472,0.0990144841357307,0.1196010066035378
52,cys__L,L-Cysteine,"N-Source, amino acid",EX_cys__L_e,True,3,1.6000000000000003,0.05861602862380038,0.1004583996559949,0.12104492212379982
53,glu__L,L-Glutamic acid,"N-Source, amino acid",EX_glu__L_e,True,5,0.9600000000000002,0.02862372600676284,0.10390964684540888,0.12449616931321425
54,gln__L,L-Glutamine,"N-Source, amino acid",EX_gln__L_e,True,5,0.9600000000000002,0.06101859234531131,0.10301419060331118,0.12360071307111775
55,gly,Glycine,"N-Source, amino acid",EX_gly_e,True,2,2.4000000000000004,0.05862372600676286,0.10046609703895634,0.12105261950676646
56,his__L,L-Histidine,"N-Source, amino acid",EX_his__L_e,True,6,0.8000000000000002,0.05967934858740614,0.10166843716798767,0.12226146931321559
57,ile__L,L-Isoleucine,"N-Source, amino acid",EX_ile__L_e,True,6,0.8000000000000002,0.07445964445434079,0.11630201548653621,0.13688853795434464
58,leu__L,L-Leucine,"N-Source, amino acid",EX_leu__L_e,True,6,0.8000000000000002,0.07356525100676041,0.11540762203895728,0.1359941445067646
59,lys__L,L-Lysine,"N-Source, amino acid",EX_lys__L_e,True,6,0.8000000000000002,0.07060095899063279,0.11244333002282716,0.13302985249063606
60,met__L,L-Methionine,"N-Source, amino acid",EX_met__L_e,True,5,0.9600000000000002,0.02954824548341233,0.07139061651560473,0.09197713898341521
61,phe__L,L-Phenylalanine,"N-Source, amino acid",EX_phe__L_e,True,9,0.5333333333333334,0.03134466767342731,0.0731833467701374,0.09377356117343122
62,pro__L,L-Proline,"N-Source, amino acid",EX_pro__L_e,True,5,0.9600000000000002,0.07004308084547031,0.11203867910347286,0.1326252015712806
63,ser__L,L-Serine,"N-Source, amino acid",EX_ser__L_e,True,3,1.6000000000000003,0.0628172743938597,0.10465964542605322,0.12524616789386026
64,thr__L,L-Threonine,"N-Source, amino acid",EX_thr__L_e,True,4,1.2000000000000002,0.06591305767977898,0.10775197709906997,0.12834195117977906
65,trp__L,L-Tryptophan,"N-Source, amino acid",EX_trp__L_e,True,11,0.43636363636363645,0.039321532678316395,0.08115760371051063,0.10175042617831853
66,tyr__L,L-Tyrosine,"N-Source, amino acid",EX_tyr__L_e,True,9,0.5333333333333334,0.059509585359452145,0.10134918199204886,0.12193847885945237
67,val__L,L-Valine,"N-Source, amino acid",EX_val__L_e,True,5,0.9600000000000002,0.07172275785585622,0.11356512888805104,0.13415165135585738
68,ala__D,D-Alanine,"N-Source, amino acid",EX_ala__D_e,True,3,1.6000000000000003,0.06604308084547178,0.1078854518776679,0.12847197434547225
69,ser__D,D-Serine,"N-Source, amino acid",EX_ser__D_e,True,3,1.6000000000000003,0.06023662923256856,0.10207900026476485,0.1226655227325697
70,citr__L,L-Citrulline,"N-Source, amino acid",EX_citr__L_e,True,6,0.8000000000000002,0.06122259299878062,0.10321819125678017,0.12380471372458543
71,hom__L,L-Homoserine,"N-Source, amino acid",EX_hom__L_e,True,4,1.2000000000000002,0.06733340342611685,0.10917577445831068,0.12976229692611885
72,orn,L-Ornithine,"N-Source, amino acid",EX_orn_e,True,5,0.9600000000000002,0.06888179052289305,0.11087738878089536,0.1314639112486985
73,etha,Ethanolamine,"N-Source, other",EX_etha_e,True,2,2.4000000000000004,0.07510660606687529,0.11694552548616771,0.1375354995668767
74,ptrc,Putrescine,"N-Source, other",EX_ptrc_e,True,4,1.2000000000000002,0.07558830999869852,0.11744361441798983,0.13803013688579707
75,ade,Adenine,"N-Source, other",EX_ade_e,True,5,0.9600000000000002,0.04469107859527402,0.08653344962746473,0.10711997209527219
76,adn,Adenosine,"N-Source, other",EX_adn_e,True,10,0.4800000000000001,0.058276900562947605,0.09975925607907787,0.12070579406294926
77,cytd,Cytidine,"N-Source, other",EX_cytd_e,True,9,0.5333333333333334,0.06327980220607174,0.10476215772220113,0.12570869570607224
78,csn,Cytosine,"N-Source, other",EX_csn_e,True,4,1.2000000000000002,0.05350044860757256,0.0953393680268609,0.11592934210757058
79,gsn,Guanosine,"N-Source, other",EX_gsn_e,True,10,0.4800000000000001,0.0557607715306899,0.09724312704682021,0.11818966503069167
80,thym,Thymine,"N-Source, other",EX_thym_e,True,5,0.9600000000000002,0.05868914375899681,0.10065964542605202,0.12124616789385959
81,thymd,Thymidine,"N-Source, other",EX_thymd_e,True,10,0.4800000000000001,0.06562273509913308,0.10746165451842367,0.12805162859913394
82,ura,Uracil,"N-Source, other",EX_ura_e,True,4,1.2000000000000002,0.053016577639829594,0.094855497059119,0.11544547113982709
83,uri,Uridine,"N-Source, other",EX_uri_e,True,9,0.5333333333333334,0.06301471860392253,0.10449707412005077,0.1254436121039189
84,ins,Inosine,"N-Source, other",EX_ins_e,True,10,0.4800000000000001,0.05730915862746527,0.0987915141435953,0.11973805212746563
85,xan,Xanthine,"N-Source, other",EX_xan_e,True,5,0.9600000000000002,0.03965882053075473,0.08150119156294862,0.10208771403075535
86,xtsn,Xanthosine,"N-Source, other",EX_xtsn_e,True,10,0.4800000000000001,0.055567223143594247,0.09704957865972277,0.11799611664359401
87,4abut,g-Amino-N-Butyric acid,"N-Source, other",EX_4abut_e,True,4,1.2000000000000002,0.0673334034261182,0.10917577445831249,0.12976229692611843
88,pi,Phosphate,"P-Source, inorganic",EX_pi_e,True,0,0.0,0.028623726006764456,0.07046609703895666,0.09105261950676358
89,3amp,Adenosine 3`-Monophosphate,"P-Source, organic",EX_3amp_e,True,10,0.4800000000000001,0.05827690056294788,0.09975925607907671,0.12070579406294896
90,amp,Adenosine 5`-Monophosphate,"P-Source, organic",EX_amp_e,True,10,0.4800000000000001,0.05827690056294788,0.09975925607907671,0.12070579406294896
91,23camp,"Adenosine 2`,3`-Cyclic Monophosphate","P-Source, organic",EX_23camp_e,True,10,0.4800000000000001,0.05827690056294788,0.09975925607907671,0.12070579406294896
92,glyc3p,DL-a-Glycerol Phosphate,"P-Source, organic",EX_glyc3p_e,True,3,1.6000000000000003,0.07765598407127916,0.11949835510347426,0.1400848775712809
93,3gmp,Guanosine 3`-Monophosphate,"P-Source, organic",EX_3gmp_e,True,10,0.4800000000000001,0.05576077153069041,0.09724312704681942,0.11818966503068923
94,gmp,Guanosine 5`-Monophosphate,"P-Source, organic",EX_gmp_e,True,10,0.4800000000000001,0.05576077153069041,0.09724312704681942,0.11818966503068923
95,23cgmp,"Guanosine 2`,3`-Cyclic Monophosphate","P-Source, organic",EX_23cgmp_e,True,10,0.4800000000000001,0.05576077153069041,0.09724312704681942,0.11818966503068923
96,cmp,Cytidine 5`-Monophosphate,"P-Source, organic",EX_cmp_e,True,9,0.5333333333333334,0.06327980220607116,0.1047621577222016,0.12570869570607143
97,23ccmp,"Cytidine 2`,3`-Cyclic Monophosphate","P-Source, organic",EX_23ccmp_e,True,9,0.5333333333333334,0.06327980220607116,0.1047621577222016,0.12570869570607143
98,3ump,Uridine 3`-Monophosphate,"P-Source, organic",EX_3ump_e,True,9,0.5333333333333334,0.06301471860392119,0.10449707412004952,0.1254436121039199
99,ump,Uridine 5`-Monophosphate,"P-Source, organic",EX_ump_e,True,9,0.5333333333333334,0.06301471860392119,0.10449707412004952,0.1254436121039199
100,23cump,"Uridine 2`,3`-Cyclic Monophosphate","P-Source, organic",EX_23cump_e,True,9,0.5333333333333334,0.06301471860392119,0.10449707412004952,0.1254436121039199
101,dtmp,Thymidine 5`-Monophosphate,"P-Source, organic",EX_dtmp_e,True,10,0.4800000000000001,0.06562273509913624,0.10746165451842313,0.12805162859913222
102,EXTRA_glu__L,Extra L-Glutamic acid,"C-Source, amino acid",EXTRA_EX_glu__L_e,True,5,0.9600000000000002,0.06191404858740901,0.0,0.0
103,EXTRA_glu__L,Extra L-Glutamic acid,"N-Source, amino acid",EXTRA_EX_glu__L_e,True,5,0.9600000000000002,0.06191404858740901,0.0,0.0
104,EXTRA_mnl,Extra D-Mannitol,"C-Source, carbohydrate",EXTRA_EX_mnl_e,True,6,0.8000000000000002,0.0,0.11207900026476417,0.0
105,EXTRA_glyc,Extra Glycerol,"C-Source, carbohydrate",EXTRA_EX_glyc_e,True,3,1.6000000000000003,0.0,0.0,0.13685907111966553
